,City,ID,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,fairbanks,5861897,64.84,-147.72,55.4,82,90,14.99,US,1593484298
1,panaba,3521972,21.28,-88.27,78.78,81,0,8.25,MX,1593484548
2,mount isa,2065594,-20.73,139.5,80.6,32,0,10.29,AU,1593484548
3,mataura,6201424,-46.19,168.86,46.45,90,99,8.25,NZ,1593484402
4,ngunguru,2186111,-35.62,174.5,60.01,78,13,8.01,NZ,1593484549
5,aykhal,2027296,66,111.5,82.4,26,0,2.24,RU,1593484410
6,naze,1855540,28.37,129.48,84.2,94,75,20.8,JP,1593484308
7,illoqqortoormiut,,,,,,,,,
8,uaua,3385883,-9.84,-39.48,66.07,91,3,10.18,BR,1593484550
9,skibbereen,2961459,51.55,-9.27,51.8,87,75,8.05,IE,1593484353
10,antalaha,1071296,-14.9,50.28,66.63,85,5,6.78,MG,1593484315
11,barentsburg,,,,,,,,,
12,ahuimanu,5856516,21.44,-157.84,87.8,62,75,10.29,US,1593484551
13,ambovombe,1079048,-25.17,46.08,64.24,91,21,5.03,MG,1593484551
14,east london,1006984,-33.02,27.91,60.46,73,21,15.57,ZA,1593484552
15,gizo,2108857,-8.1,156.84,83.14,70,21,1.66,SB,1593484552
16,kawalu,1640902,-7.38,108.21,79.57,72,40,4.25,ID,1593484552
17,darnah,87205,32.77,22.64,73.08,73,0,16.49,LY,1593484552
18,ushuaia,3833367,-54.8,-68.3,33.8,64,75,8.05,AR,1593484307
19,bada,2027275,51.39,109.87,71.71,52,98,7.02,RU,1593484552
20,saint-philippe,935215,-21.36,55.77,68,64,56,6.93,RE,1593484400
21,punta arenas,3874787,-53.15,-70.92,23,92,2,5.82,CL,1593484552
22,dikson,1507390,73.51,80.55,49.44,75,45,18.97,RU,1593484417
23,plettenberg bay,964712,-34.05,23.37,54.59,78,31,4.32,ZA,1593484553
24,sinor,1256117,21.92,73.33,84.2,83,40,2.24,IN,1593484554
25,ihosy,1064275,-22.4,46.12,57.42,68,32,2.91,MG,1593484554
26,belushya guba,,,,,,,,,
27,bredasdorp,1015776,-34.53,20.04,42.8,93,3,2.24,ZA,1593484413
28,kapaa,5848280,22.08,-159.32,84.2,70,20,11.41,US,1593484186
29,barmer,1276901,25.75,71.38,88.77,58,0,12.08,IN,1593484555
30,taolanaro,,,,,,,,,
31,kegayli,,,,,,,,,
32,khatanga,2022572,71.97,102.5,82.69,40,48,4.74,RU,1593484171
33,qaanaaq,3831208,77.48,-69.36,42.37,64,100,4,GL,1593484403
34,mogadishu,53654,2.04,45.34,77.72,86,0,13.56,SO,1593484556
35,chara,2025630,56.91,118.26,75.13,39,54,0.38,RU,1593484556
36,lavrentiya,4031637,65.58,-171,46.51,58,29,11.23,RU,1593484426
37,hobart,2163355,-42.88,147.33,51.01,66,75,8.05,AU,1593484233
38,georgetown,1735106,5.41,100.34,86,79,20,3.36,MY,1593484409
39,ribeira grande,3372707,38.52,-28.7,66.96,94,17,6.69,PT,1593484556
40,cidreira,3466165,-30.18,-50.21,60.58,92,100,18.01,BR,1593484257
41,yellowknife,6185377,62.46,-114.35,73.99,35,20,8.05,CA,1593484040
42,cherskiy,2126199,68.75,161.3,53.71,42,44,16.37,RU,1593484339
43,udachnyy,2014624,66.42,112.4,82.4,26,0,2.24,RU,1593484557
44,husavik,2629833,66.04,-17.34,46.4,75,75,6.49,IS,1593484457
45,bambanglipuro,1650434,-7.95,110.28,83.84,66,11,11.39,ID,1593484330
46,pauini,3662927,-7.71,-66.98,73.36,77,2,0.92,BR,1593484559
47,mangai,2313084,-4.05,19.53,72.64,70,87,0.96,CD,1593484559
48,rikitea,4030556,-23.12,-134.97,69.53,54,84,15.08,PF,1593484405
49,hermanus,3366880,-34.42,19.23,50,94,6,10.02,ZA,1593484408
50,komsomolskiy,1513491,40.43,71.72,73.4,35,99,4.7,UZ,1593484322
51,codrington,2171099,-38.27,141.97,54.19,61,95,16.8,AU,1593484419
52,miandrivazo,1059051,-19.52,45.47,67.21,64,0,1.01,MG,1593484559
53,bethel,5282297,41.37,-73.41,66.2,88,1,3.36,US,1593484226
54,candawaga,,,,,,,,,
55,kikwit,2314705,-5.04,18.82,77.18,61,100,1.72,CD,1593484560
56,butaritari,2110227,3.07,172.79,83.19,66,52,4.43,KI,1593484155
57,laguna,5364271,38.42,-121.42,88,15,1,10.29,US,1593484230
58,busselton,2075265,-33.65,115.33,64,55,58,22.32,AU,1593484129
59,oistins,3373652,13.07,-59.53,82.4,78,20,13.87,BB,1593484326
60,irati,3461017,-25.47,-50.65,53.58,98,40,2.62,BR,1593484561
61,cockburn town,3576994,21.46,-71.14,82.49,76,0,15.5,TC,1593484484
62,chuy,3443061,-33.7,-53.46,54.36,92,100,8.77,UY,1593484429
63,upernavik,3418910,72.79,-56.15,38.75,79,31,4.72,GL,1593484461
64,ban nahin,1661950,18.24,104.21,84.4,76,99,2.51,LA,1593484563
65,cape town,3369157,-33.93,18.42,48.99,93,3,2.24,ZA,1593484563
66,adeje,2522437,28.12,-16.73,73.99,68,40,13.87,ES,1593484563
67,coihaique,3894426,-45.58,-72.07,35.6,96,90,4.7,CL,1593484422
68,lukovetskiy,533418,64.3,41.92,48.2,81,20,2.24,RU,1593484564
69,tuktoyaktuk,6170031,69.45,-133.04,55.4,66,20,13.87,CA,1593484400
70,halalo,,,,,,,,,
71,hilo,5855927,19.73,-155.09,82.4,58,75,11.41,US,1593484410
72,beringovskiy,2126710,63.05,179.32,45.28,87,99,8.05,RU,1593484329
73,geraldton,2070998,-28.77,114.6,64.4,88,75,6.93,AU,1593484187
74,mount gambier,2156643,-37.83,140.77,51.8,66,75,19.46,AU,1593484565
75,honiara,2108502,-9.43,159.95,89.6,62,40,5.82,SB,1593484565
76,bengkulu,1649150,-3.8,102.27,84.85,60,0,2.37,ID,1593484417
77,zihuatanejo,3979673,17.63,-101.55,81.18,77,3,2.91,MX,1593484565
78,sakaiminato,1853174,35.55,133.23,86,66,75,16.11,JP,1593484565
79,kumba,2229752,4.64,9.45,70.16,96,97,3.31,CM,1593484566
80,saldanha,3361934,-33.01,17.94,50,93,0,4.7,ZA,1593484445
81,vaini,4032243,-21.2,-175.2,77,94,75,6.93,TO,1593484409
82,barrow,5880054,71.29,-156.79,39.2,80,75,16.11,US,1593484403
83,faanui,4034551,-16.48,-151.75,77.58,78,92,25.9,PF,1593484430
84,albany,5106841,42.6,-73.97,68,85,60,5.35,US,1593484129
85,imbituba,3461370,-28.24,-48.67,62.6,100,75,4.7,BR,1593484336
86,tsihombe,,,,,,,,,
87,hovd,1516048,48.01,91.64,69.71,44,100,4.68,MN,1593484377
88,hasaki,2112802,35.73,140.83,84,78,75,10.29,JP,1593484412
89,talnakh,1490256,69.49,88.4,64.4,59,97,17.9,RU,1593484411
90,jamestown,5122534,42.1,-79.24,69.8,64,1,6.93,US,1593484410
91,marienburg,3092472,54.04,19.03,55.99,100,0,3.36,PL,1593484349
92,atuona,4020109,-9.8,-139.03,80.01,78,7,18.21,PF,1593484402
93,saint-pierre,935214,-21.34,55.48,68,64,66,6.93,RE,1593484205
94,ponta do sol,2264557,32.67,-17.1,68,88,75,12.75,PT,1593484568
95,sorland,3137469,67.67,12.69,47.07,82,23,36.1,NO,1593484432
96,iquique,3887127,-20.22,-70.14,59,72,40,1.12,CL,1593484295
97,port hedland,2063042,-20.32,118.57,84.2,35,67,9.17,AU,1593484569
98,olafsvik,3414079,64.89,-23.71,50.18,81,71,13.18,IS,1593484455
99,kiama,2161515,-34.68,150.87,64,69,0,10,AU,1593484570
100,touros,3386213,-5.2,-35.46,73.4,94,40,4.7,BR,1593484453
101,kangaatsiaq,3422683,68.31,-53.46,40.17,85,0,11.25,GL,1593484570
102,mehamn,778707,71.04,27.85,39.76,75,97,17.31,NO,1593484570
103,kokopo,2093685,-4.35,152.26,85.42,65,0,9.13,PG,1593484570
104,marcona,,,,,,,,,
105,clyde river,5924351,70.47,-68.59,35.6,93,75,13.87,CA,1593484570
